disease,year,month,date,time,count,log_count,covid,post,fitted,fitted_count,counterfactual,counterfactual_count
Meningococcal disease (invasive),2016,7,2016-07-01,19,18,2.9444389791664403,0,0,3.2028245832652993,23.60192232714842,3.2028245832652993,23.60192232714842
Meningococcal disease (invasive),2016,8,2016-08-01,20,34,3.5553480614894135,0,0,3.2156390080703035,23.919210401153812,3.2156390080703035,23.919210401153812
Meningococcal disease (invasive),2016,9,2016-09-01,21,25,3.258096538021482,0,0,3.19198155533867,23.336604022677527,3.19198155533867,23.336604022677527
Meningococcal disease (invasive),2016,10,2016-10-01,22,37,3.6375861597263857,0,0,3.135967521734187,22.01088861013378,3.135967521734187,22.01088861013378
Meningococcal disease (invasive),2016,11,2016-11-01,23,20,3.044522437723423,0,0,3.0349356164261456,19.799638701290505,3.0349356164261456,19.799638701290505
Meningococcal disease (invasive),2016,12,2016-12-01,24,25,3.258096538021482,0,0,2.8913191016667854,17.017060267564364,2.8913191016667854,17.017060267564364
Meningococcal disease (invasive),2017,1,2017-01-01,25,28,3.367295829986474,0,0,2.747440309345053,14.602642787228428,2.747440309345053,14.602642787228428
Meningococcal disease (invasive),2017,2,2017-02-01,26,21,3.091042453358316,0,0,2.6711383556201347,13.456416372481698,2.6711383556201347,13.456416372481698
Meningococcal disease (invasive),2017,3,2017-03-01,27,23,3.1780538303479458,0,0,2.7091131466071388,14.015952659475758,2.7091131466071388,14.015952659475758
Meningococcal disease (invasive),2017,4,2017-04-01,28,22,3.1354942159291497,0,0,2.848965669037727,16.269909796938318,2.848965669037727,16.269909796938318
Meningococcal disease (invasive),2017,5,2017-05-01,29,17,2.8903717578961645,0,0,3.025552346567327,19.605382881063033,3.025552346567327,19.605382881063033
Meningococcal disease (invasive),2017,6,2017-06-01,30,26,3.295836866004329,0,0,3.16691876637296,22.734240833205604,3.16691876637296,22.734240833205604
Meningococcal disease (invasive),2017,7,2017-07-01,31,33,3.5263605246161616,0,0,3.239026313170231,24.508871998670916,3.239026313170231,24.508871998670916
Meningococcal disease (invasive),2017,8,2017-08-01,32,40,3.713572066704308,0,0,3.251840737975235,24.837856895008752,3.251840737975235,24.837856895008752
Meningococcal disease (invasive),2017,9,2017-09-01,33,65,4.189654742026425,0,0,3.2281832852436017,24.233772737009406,3.2281832852436017,24.233772737009406
Meningococcal disease (invasive),2017,10,2017-10-01,34,52,3.970291913552122,0,0,3.1721692516391187,22.859184836293785,3.1721692516391187,22.859184836293785
Meningococcal disease (invasive),2017,11,2017-11-01,35,28,3.367295829986474,0,0,3.0711373463310774,20.56641721709393,3.0711373463310774,20.56641721709393
Meningococcal disease (invasive),2017,12,2017-12-01,36,23,3.1780538303479458,0,0,2.927520831571717,17.68125905147145,2.927520831571717,17.68125905147145
Meningococcal disease (invasive),2018,1,2018-01-01,37,22,3.1354942159291497,0,0,2.783642039249985,15.17783408986677,2.783642039249985,15.17783408986677
Meningococcal disease (invasive),2018,2,2018-02-01,38,12,2.5649493574615367,0,0,2.7073400855250664,13.989352047428786,2.7073400855250664,13.989352047428786
Meningococcal disease (invasive),2018,3,2018-03-01,39,17,2.8903717578961645,0,0,2.7453148765120705,14.569515635206338,2.7453148765120705,14.569515635206338
Meningococcal disease (invasive),2018,4,2018-04-01,40,17,2.8903717578961645,0,0,2.8851673989426585,16.906564884669898,2.8851673989426585,16.906564884669898
Meningococcal disease (invasive),2018,5,2018-05-01,41,16,2.833213344056216,0,0,3.0617540764722584,20.36500015759401,3.0617540764722584,20.36500015759401
Meningococcal disease (invasive),2018,6,2018-06-01,42,23,3.1780538303479458,0,0,3.2031204962778914,23.609203433333708,3.2031204962778914,23.609203433333708
Meningococcal disease (invasive),2018,7,2018-07-01,43,30,3.4339872044851463,0,0,3.2752280430751624,25.449256362642902,3.2752280430751624,25.449256362642902
Meningococcal disease (invasive),2018,8,2018-08-01,44,33,3.5263605246161616,0,0,3.2880424678801665,25.790369284575725,3.2880424678801665,25.790369284575725
Meningococcal disease (invasive),2018,9,2018-09-01,45,31,3.4657359027997265,0,0,3.264385015148533,25.164015568881496,3.264385015148533,25.164015568881496
Meningococcal disease (invasive),2018,10,2018-10-01,46,25,3.258096538021482,0,0,3.20837098154405,23.738753496105055,3.20837098154405,23.738753496105055
Meningococcal disease (invasive),2018,11,2018-11-01,47,26,3.295836866004329,0,0,3.1073390762360087,21.361463016802677,3.1073390762360087,21.361463016802677
Meningococcal disease (invasive),2018,12,2018-12-01,48,27,3.332204510175204,0,0,2.9637225614766485,18.36994351828085,2.9637225614766485,18.36994351828085
Meningococcal disease (invasive),2019,1,2019-01-01,49,16,2.833213344056216,0,0,2.8198437691549163,15.77422981531619,2.8198437691549163,15.77422981531619
Meningococcal disease (invasive),2019,2,2019-02-01,50,9,2.302585092994046,0,0,2.7435418154299978,14.541934391807164,2.7435418154299978,14.541934391807164
Meningococcal disease (invasive),2019,3,2019-03-01,51,12,2.5649493574615367,0,0,2.781516606417002,15.143485705648036,2.781516606417002,15.143485705648036
Meningococcal disease (invasive),2019,4,2019-04-01,52,11,2.4849066497880004,0,0,2.92136912884759,17.566690257162684,2.92136912884759,17.566690257162684
Meningococcal disease (invasive),2019,5,2019-05-01,53,19,2.995732273553991,0,0,3.0979558063771897,21.152620719001323,3.0979558063771897,21.152620719001323
Meningococcal disease (invasive),2019,6,2019-06-01,54,22,3.1354942159291497,0,0,3.2393222261828227,24.51642152277798,3.2393222261828227,24.51642152277798
Meningococcal disease (invasive),2019,7,2019-07-01,55,23,3.1780538303479458,0,0,3.3114297729800937,26.42430798873644,3.3114297729800937,26.42430798873644
Meningococcal disease (invasive),2019,8,2019-08-01,56,30,3.4339872044851463,0,0,3.324244197785098,26.77799603583164,3.324244197785098,26.77799603583164
Meningococcal disease (invasive),2019,9,2019-09-01,57,24,3.2188758248682006,0,0,3.3005867450534643,26.128551795374683,3.3005867450534643,26.128551795374683
Meningococcal disease (invasive),2019,10,2019-10-01,58,15,2.772588722239781,0,0,3.2445727114489813,24.650747447586195,3.2445727114489813,24.650747447586195
Meningococcal disease (invasive),2019,11,2019-11-01,59,14,2.70805020110221,0,0,3.14354080614094,22.185818173613796,3.14354080614094,22.185818173613796
Meningococcal disease (invasive),2019,12,2019-12-01,60,10,2.3978952727983707,0,0,2.99992429138158,19.08401633249862,2.99992429138158,19.08401633249862
Meningococcal disease (invasive),2020,1,2020-01-01,61,12,2.5649493574615367,0,0,2.8560454990598476,16.3926116644555,2.8560454990598476,16.3926116644555
