disease,year,state,rate_per_100k
COVID-19,1995,AUS,NA
COVID-19,1994,ACT,0
COVID-19,1994,NSW,0
COVID-19,1994,NT,0
COVID-19,1994,QLD,0
COVID-19,1994,SA,0
COVID-19,1994,TAS,0
COVID-19,1994,VIC,0
COVID-19,1994,WA,0
COVID-19,1994,AUS,NA
COVID-19,1993,ACT,0
COVID-19,1993,NSW,0
COVID-19,1993,NT,0
COVID-19,1993,QLD,0
COVID-19,1993,SA,0
COVID-19,1993,TAS,0
COVID-19,1993,VIC,0
COVID-19,1993,WA,0
COVID-19,1993,AUS,NA
COVID-19,1992,ACT,0
COVID-19,1992,NSW,0
COVID-19,1992,NT,0
COVID-19,1992,QLD,0
COVID-19,1992,SA,0
COVID-19,1992,TAS,0
COVID-19,1992,VIC,0
COVID-19,1992,WA,0
COVID-19,1992,AUS,NA
COVID-19,1991,ACT,0
COVID-19,1991,NSW,0
COVID-19,1991,NT,0
COVID-19,1991,QLD,0
COVID-19,1991,SA,0
COVID-19,1991,TAS,0
COVID-19,1991,VIC,0
COVID-19,1991,WA,0
COVID-19,1991,AUS,NA
Cryptosporidiosis,2025,ACT,9
Cryptosporidiosis,2025,NSW,16
Cryptosporidiosis,2025,NT,30
Cryptosporidiosis,2025,QLD,13
Cryptosporidiosis,2025,SA,17
Cryptosporidiosis,2025,TAS,7
Cryptosporidiosis,2025,VIC,16
Cryptosporidiosis,2025,WA,42
Cryptosporidiosis,2025,AUS,18
Cryptosporidiosis,2024,ACT,53
Cryptosporidiosis,2024,NSW,41
Cryptosporidiosis,2024,NT,33
Cryptosporidiosis,2024,QLD,111
Cryptosporidiosis,2024,SA,39
Cryptosporidiosis,2024,TAS,20
Cryptosporidiosis,2024,VIC,34
Cryptosporidiosis,2024,WA,27
Cryptosporidiosis,2024,AUS,53
Cryptosporidiosis,2023,ACT,6
Cryptosporidiosis,2023,NSW,11
Cryptosporidiosis,2023,NT,73
Cryptosporidiosis,2023,QLD,26
Cryptosporidiosis,2023,SA,10
Cryptosporidiosis,2023,TAS,4
Cryptosporidiosis,2023,VIC,11
Cryptosporidiosis,2023,WA,7
Cryptosporidiosis,2023,AUS,14
Cryptosporidiosis,2022,ACT,5
Cryptosporidiosis,2022,NSW,6
Cryptosporidiosis,2022,NT,20
Cryptosporidiosis,2022,QLD,11
Cryptosporidiosis,2022,SA,7
Cryptosporidiosis,2022,TAS,6
Cryptosporidiosis,2022,VIC,8
Cryptosporidiosis,2022,WA,10
Cryptosporidiosis,2022,AUS,8
Cryptosporidiosis,2021,ACT,2
Cryptosporidiosis,2021,NSW,5
Cryptosporidiosis,2021,NT,71
Cryptosporidiosis,2021,QLD,11
Cryptosporidiosis,2021,SA,6
Cryptosporidiosis,2021,TAS,5
Cryptosporidiosis,2021,VIC,6
Cryptosporidiosis,2021,WA,5
Cryptosporidiosis,2021,AUS,7
Cryptosporidiosis,2020,ACT,3
Cryptosporidiosis,2020,NSW,7
Cryptosporidiosis,2020,NT,28
Cryptosporidiosis,2020,QLD,13
Cryptosporidiosis,2020,SA,7
Cryptosporidiosis,2020,TAS,4
Cryptosporidiosis,2020,VIC,7
Cryptosporidiosis,2020,WA,18
Cryptosporidiosis,2020,AUS,10
Cryptosporidiosis,2019,ACT,3
Cryptosporidiosis,2019,NSW,8
Cryptosporidiosis,2019,NT,58
Cryptosporidiosis,2019,QLD,14
Cryptosporidiosis,2019,SA,7
Cryptosporidiosis,2019,TAS,5
Cryptosporidiosis,2019,VIC,12
Cryptosporidiosis,2019,WA,8
Cryptosporidiosis,2019,AUS,11
Cryptosporidiosis,2018,ACT,6
Cryptosporidiosis,2018,NSW,9
Cryptosporidiosis,2018,NT,42
Cryptosporidiosis,2018,QLD,21
Cryptosporidiosis,2018,SA,11
Cryptosporidiosis,2018,TAS,7
Cryptosporidiosis,2018,VIC,12
Cryptosporidiosis,2018,WA,5
Cryptosporidiosis,2018,AUS,12
Cryptosporidiosis,2017,ACT,20
Cryptosporidiosis,2017,NSW,16
Cryptosporidiosis,2017,NT,36
Cryptosporidiosis,2017,QLD,26
Cryptosporidiosis,2017,SA,20
Cryptosporidiosis,2017,TAS,8
Cryptosporidiosis,2017,VIC,19
Cryptosporidiosis,2017,WA,15
Cryptosporidiosis,2017,AUS,19
Cryptosporidiosis,2016,ACT,12
Cryptosporidiosis,2016,NSW,16
Cryptosporidiosis,2016,NT,114
Cryptosporidiosis,2016,QLD,49
Cryptosporidiosis,2016,SA,25
Cryptosporidiosis,2016,TAS,6
Cryptosporidiosis,2016,VIC,13
Cryptosporidiosis,2016,WA,10
Cryptosporidiosis,2016,AUS,22
Cryptosporidiosis,2015,ACT,7
Cryptosporidiosis,2015,NSW,14
Cryptosporidiosis,2015,NT,50
Cryptosporidiosis,2015,QLD,28
Cryptosporidiosis,2015,SA,25
Cryptosporidiosis,2015,TAS,4
Cryptosporidiosis,2015,VIC,14
Cryptosporidiosis,2015,WA,10
Cryptosporidiosis,2015,AUS,17
Cryptosporidiosis,2014,ACT,8
Cryptosporidiosis,2014,NSW,6
Cryptosporidiosis,2014,NT,36
Cryptosporidiosis,2014,QLD,14
Cryptosporidiosis,2014,SA,13
Cryptosporidiosis,2014,TAS,6
Cryptosporidiosis,2014,VIC,11
Cryptosporidiosis,2014,WA,12
Cryptosporidiosis,2014,AUS,10
Cryptosporidiosis,2013,ACT,10
Cryptosporidiosis,2013,NSW,15
Cryptosporidiosis,2013,NT,37
