effect,term,estimate,std.error,statistic,conf.low,conf.high,effect_type,p.value,group,model_name,aic,bic,n_obs,n_groups
fixed,time_since_covid,0.15078441990111774,0.07588344638583386,1.9870528696660068,0.002055597962107275,0.2995132418401282,fixed,0.046916538300301666,NA,border_sensitive,1751.3339705403787,1797.5841059286342,495,45
fixed,covid:border_sensitiveTRUE,-2.3272494460253075,0.8327227846700929,-2.7947469300330416,-3.959356113084592,-0.6951427789660232,fixed,0.005194035715327299,NA,border_sensitive,1751.3339705403787,1797.5841059286342,495,45
fixed,border_sensitiveTRUE:time_since_covid,0.409177740833182,0.10952832049474251,3.7358168096152173,0.19450617737632644,0.6238493042900375,fixed,1.8710684817943487e-4,NA,border_sensitive,1751.3339705403787,1797.5841059286342,495,45
ran_pars,sd__(Intercept),0,NA,NA,NA,NA,random,NA,disease,border_sensitive,1751.3339705403787,1797.5841059286342,495,45
ran_pars,cor__(Intercept).covid,NA,NA,NA,NA,NA,random,NA,disease,border_sensitive,1751.3339705403787,1797.5841059286342,495,45
ran_pars,sd__covid,1.8385735824473077,NA,NA,NA,NA,random,NA,disease,border_sensitive,1751.3339705403787,1797.5841059286342,495,45
ran_pars,sd__Observation,1.2294523483202893,NA,NA,NA,NA,random,NA,Residual,border_sensitive,1751.3339705403787,1797.5841059286342,495,45
fixed,(Intercept),4.1782527878988105e-16,0.09574157618740692,4.3640944240568965e-15,-0.18765004115041475,0.1876500411504156,fixed,0.9999999999999966,NA,vaccine_preventable,1761.7412339557577,1807.9913693440133,495,45
fixed,year_centered,0.0545188056366815,0.05884624787140624,0.9264618834461411,-0.06081772081659152,0.16985533208995451,fixed,0.35420599694788546,NA,vaccine_preventable,1761.7412339557577,1807.9913693440133,495,45
fixed,covid,-1.1572089339634961,0.3929164351577652,-2.9451782374510485,-1.9273109958065833,-0.38710687212040906,fixed,0.0032276866773140755,NA,vaccine_preventable,1761.7412339557577,1807.9913693440133,495,45
fixed,vaccine_preventableTRUE,-8.568854258652603e-16,0.1936468724926913,-4.4249897498220695e-15,-0.3795408958044958,0.3795408958044941,fixed,0.9999999999999964,NA,vaccine_preventable,1761.7412339557577,1807.9913693440133,495,45
fixed,time_since_covid,0.23763569540247345,0.07798632209881264,3.0471458200244004,0.08478531280206061,0.39048607800288626,fixed,0.002310256059656278,NA,vaccine_preventable,1761.7412339557577,1807.9913693440133,495,45
fixed,covid:vaccine_preventableTRUE,-1.3717294335394645,0.7582234658505713,-1.8091360862864687,-2.8578201188397196,0.1143612517607906,fixed,0.0704298640474275,NA,vaccine_preventable,1761.7412339557577,1807.9913693440133,495,45
fixed,vaccine_preventableTRUE:time_since_covid,-0.02051888455117477,0.10350860726970716,-0.1982336067734903,-0.22339202688970156,0.18235425778735204,fixed,0.8428622947857567,NA,vaccine_preventable,1761.7412339557577,1807.9913693440133,495,45
ran_pars,sd__(Intercept),0,NA,NA,NA,NA,random,NA,disease,vaccine_preventable,1761.7412339557577,1807.9913693440133,495,45
ran_pars,cor__(Intercept).covid,NA,NA,NA,NA,NA,random,NA,disease,vaccine_preventable,1761.7412339557577,1807.9913693440133,495,45
ran_pars,sd__covid,1.765190761146889,NA,NA,NA,NA,random,NA,disease,vaccine_preventable,1761.7412339557577,1807.9913693440133,495,45
ran_pars,sd__Observation,1.2483174275176716,NA,NA,NA,NA,random,NA,Residual,vaccine_preventable,1761.7412339557577,1807.9913693440133,495,45
