disease,year,month,date,time,count,log_count,gam_fitted_log,gam_fitted_count
Influenza (laboratory confirmed),2023,4,2023-04-01,100,13331,9.497922439427631,8.309524280191427,4061.3799693340748
Influenza (laboratory confirmed),2023,5,2023-05-01,101,25052,10.12874885982134,8.648661752416041,5701.510254572603
Influenza (laboratory confirmed),2023,6,2023-06-01,102,77741,11.261150930856866,9.052866537186576,8541.991662334709
Influenza (laboratory confirmed),2023,7,2023-07-01,103,53171,10.88128722098749,9.338288637251217,11363.942049610128
Influenza (laboratory confirmed),2023,8,2023-08-01,104,32501,10.389056904885955,9.33794824410089,11360.07415952156
Influenza (laboratory confirmed),2023,9,2023-09-01,105,24938,10.124188122199199,8.977349277837336,7920.606283654663
Influenza (laboratory confirmed),2023,10,2023-10-01,106,12724,9.451323841418724,8.345780902428745,4211.370795204747
Influenza (laboratory confirmed),2023,11,2023-11-01,107,13099,9.480367509189243,7.939868413599456,2805.9911221399075
Influenza (laboratory confirmed),2023,12,2023-12-01,108,17640,9.777981017296407,7.844973983864029,2551.871246834113
Influenza (laboratory confirmed),2024,1,2024-01-01,109,8614,9.06126014896203,7.851434109358592,2568.4165001259053
Influenza (laboratory confirmed),2024,2,2024-02-01,110,7972,8.983816112502495,7.93555625215839,2793.9129834154573
Influenza (laboratory confirmed),2024,3,2024-03-01,111,13784,9.531336323457896,8.200181532740798,3640.6113190165697
Influenza (laboratory confirmed),2024,4,2024-04-01,112,12443,9.428993858017527,8.38704578601811,4388.830022266434
Influenza (laboratory confirmed),2024,5,2024-05-01,113,31202,10.348269523021242,8.726183258282331,6161.163782749267
Influenza (laboratory confirmed),2024,6,2024-06-01,114,71692,11.180148392811926,9.130388043083299,9230.603534137883
Influenza (laboratory confirmed),2024,7,2024-07-01,115,96875,11.481187089183015,9.415810143170162,12280.018563479667
Influenza (laboratory confirmed),2024,8,2024-08-01,116,83372,11.33107979492421,9.415469750034648,12275.838900468185
Influenza (laboratory confirmed),2024,9,2024-09-01,117,18889,9.846387960495555,9.054870783779167,8559.131094351156
Influenza (laboratory confirmed),2024,10,2024-10-01,118,6924,8.842893331055539,8.42330240837263,4550.910929913977
Influenza (laboratory confirmed),2024,11,2024-11-01,119,7118,8.870522545103873,8.017389919540122,3032.2499654456396
Influenza (laboratory confirmed),2024,12,2024-12-01,120,6037,8.705828110266784,7.922495489796943,2757.6466377148586
Meningococcal disease (invasive),2015,1,2015-01-01,1,8,2.1972245773362196,2.4141220574231137,10.179950692911806
Meningococcal disease (invasive),2015,2,2015-02-01,2,6,1.9459101490553132,2.3347800187714474,9.327187891995933
Meningococcal disease (invasive),2015,3,2015-03-01,3,12,2.5649493574615367,2.3625668151836394,9.618171386756467
Meningococcal disease (invasive),2015,4,2015-04-01,4,15,2.772588722239781,2.473114601169024,10.859326461255536
Meningococcal disease (invasive),2015,5,2015-05-01,5,19,2.995732273553991,2.618911817212385,12.720784736670202
Meningococcal disease (invasive),2015,6,2015-06-01,6,13,2.6390573296152584,2.770153109246428,14.961077611285507
Meningococcal disease (invasive),2015,7,2015-07-01,7,18,2.9444389791664403,2.898909493160414,17.154337142080767
Meningococcal disease (invasive),2015,8,2015-08-01,8,28,3.367295829986474,2.974528793574585,18.580394667703622
Meningococcal disease (invasive),2015,9,2015-09-01,9,20,3.044522437723423,2.9674699882956945,18.442667142227982
Meningococcal disease (invasive),2015,10,2015-10-01,10,21,3.091042453358316,2.908630498428123,17.331676109075083
Meningococcal disease (invasive),2015,11,2015-11-01,11,13,2.6390573296152584,2.827453035307062,15.90235625033137
Meningococcal disease (invasive),2015,12,2015-12-01,12,6,1.9459101490553132,2.730778744946662,14.344832078665094
Meningococcal disease (invasive),2016,1,2016-01-01,13,22,3.1354942159291497,2.75875806045936,14.780232678472373
Meningococcal disease (invasive),2016,2,2016-02-01,14,9,2.302585092994046,2.676673746503472,13.536660173384883
Meningococcal disease (invasive),2016,3,2016-03-01,15,14,2.70805020110221,2.703043071507424,13.925080777732811
Meningococcal disease (invasive),2016,4,2016-04-01,16,14,2.70805020110221,2.8136716204589414,15.67101562895392
Meningococcal disease (invasive),2016,5,2016-05-01,17,16,2.833213344056216,2.9610798914621963,18.31882272680587
Meningococcal disease (invasive),2016,6,2016-06-01,18,16,2.833213344056216,3.1153081549548243,21.540375211698535
Meningococcal disease (invasive),2016,7,2016-07-01,19,18,2.9444389791664403,3.2480765163392293,24.740780298594935
Meningococcal disease (invasive),2016,8,2016-08-01,20,34,3.5553480614894135,3.3282062022450685,26.888270890494585
Meningococcal disease (invasive),2016,9,2016-09-01,21,25,3.258096538021482,3.3254985280274476,26.812860677647393
Meningococcal disease (invasive),2016,10,2016-10-01,22,37,3.6375861597263857,3.2701212998463363,25.314531098260915
Meningococcal disease (invasive),2016,11,2016-11-01,23,20,3.044522437723423,3.190779336630437,23.30736368219062
Meningococcal disease (invasive),2016,12,2016-12-01,24,25,3.258096538021482,3.0936268298284397,21.056929814693305
Meningococcal disease (invasive),2017,1,2017-01-01,25,28,3.367295829986474,3.118226116843614,21.60624322095955
Meningococcal disease (invasive),2017,2,2017-02-01,26,21,3.091042453358316,3.029403490477071,19.684890174601605
Meningococcal disease (invasive),2017,3,2017-03-01,27,23,3.1780538303479458,3.0453682538060862,20.017769651605107
Meningococcal disease (invasive),2017,4,2017-04-01,28,22,3.1354942159291497,3.1417694984237383,22.14478530659873
Meningococcal disease (invasive),2017,5,2017-05-01,29,17,2.8903717578961645,3.2711154955800095,25.340705902095582
Meningococcal disease (invasive),2017,6,2017-06-01,30,26,3.295836866004329,3.40356555852098,29.071129496135374
