disease_group,disease,year,count
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2005,20
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2004,16
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2003,15
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2002,13
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2001,3
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2000,17
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),1999,23
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),1998,0
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),1997,0
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),1996,0
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),1995,0
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),1994,0
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),1993,0
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),1992,0
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),1991,0
Gastrointestinal diseases,Hepatitis A,2026,26
Gastrointestinal diseases,Hepatitis A,2025,244
Gastrointestinal diseases,Hepatitis A,2024,245
Gastrointestinal diseases,Hepatitis A,2023,217
Gastrointestinal diseases,Hepatitis A,2022,143
Gastrointestinal diseases,Hepatitis A,2021,24
Gastrointestinal diseases,Hepatitis A,2020,86
Gastrointestinal diseases,Hepatitis A,2019,243
Gastrointestinal diseases,Hepatitis A,2018,434
Gastrointestinal diseases,Hepatitis A,2017,217
Gastrointestinal diseases,Hepatitis A,2016,145
Gastrointestinal diseases,Hepatitis A,2015,179
Gastrointestinal diseases,Hepatitis A,2014,231
Gastrointestinal diseases,Hepatitis A,2013,191
Gastrointestinal diseases,Hepatitis A,2012,165
Gastrointestinal diseases,Hepatitis A,2011,144
Gastrointestinal diseases,Hepatitis A,2010,268
Gastrointestinal diseases,Hepatitis A,2009,564
Gastrointestinal diseases,Hepatitis A,2008,275
Gastrointestinal diseases,Hepatitis A,2007,167
Gastrointestinal diseases,Hepatitis A,2006,278
Gastrointestinal diseases,Hepatitis A,2005,327
Gastrointestinal diseases,Hepatitis A,2004,319
Gastrointestinal diseases,Hepatitis A,2003,429
Gastrointestinal diseases,Hepatitis A,2002,392
Gastrointestinal diseases,Hepatitis A,2001,536
Gastrointestinal diseases,Hepatitis A,2000,806
Gastrointestinal diseases,Hepatitis A,1999,1534
Gastrointestinal diseases,Hepatitis A,1998,2472
Gastrointestinal diseases,Hepatitis A,1997,3038
Gastrointestinal diseases,Hepatitis A,1996,2070
Gastrointestinal diseases,Hepatitis A,1995,1583
Gastrointestinal diseases,Hepatitis A,1994,1896
Gastrointestinal diseases,Hepatitis A,1993,1952
Gastrointestinal diseases,Hepatitis A,1992,2084
Gastrointestinal diseases,Hepatitis A,1991,2303
Gastrointestinal diseases,Hepatitis E,2026,4
Gastrointestinal diseases,Hepatitis E,2025,25
Gastrointestinal diseases,Hepatitis E,2024,19
Gastrointestinal diseases,Hepatitis E,2023,36
Gastrointestinal diseases,Hepatitis E,2022,13
Gastrointestinal diseases,Hepatitis E,2021,6
Gastrointestinal diseases,Hepatitis E,2020,31
Gastrointestinal diseases,Hepatitis E,2019,52
Gastrointestinal diseases,Hepatitis E,2018,39
Gastrointestinal diseases,Hepatitis E,2017,43
Gastrointestinal diseases,Hepatitis E,2016,44
Gastrointestinal diseases,Hepatitis E,2015,41
Gastrointestinal diseases,Hepatitis E,2014,58
Gastrointestinal diseases,Hepatitis E,2013,34
Gastrointestinal diseases,Hepatitis E,2012,32
Gastrointestinal diseases,Hepatitis E,2011,41
Gastrointestinal diseases,Hepatitis E,2010,37
Gastrointestinal diseases,Hepatitis E,2009,33
Gastrointestinal diseases,Hepatitis E,2008,44
Gastrointestinal diseases,Hepatitis E,2007,18
Gastrointestinal diseases,Hepatitis E,2006,24
Gastrointestinal diseases,Hepatitis E,2005,30
Gastrointestinal diseases,Hepatitis E,2004,28
Gastrointestinal diseases,Hepatitis E,2003,12
Gastrointestinal diseases,Hepatitis E,2002,11
Gastrointestinal diseases,Hepatitis E,2001,14
Gastrointestinal diseases,Hepatitis E,2000,12
Gastrointestinal diseases,Hepatitis E,1999,10
Gastrointestinal diseases,Hepatitis E,1998,0
Gastrointestinal diseases,Hepatitis E,1997,0
Gastrointestinal diseases,Hepatitis E,1996,0
Gastrointestinal diseases,Hepatitis E,1995,0
Gastrointestinal diseases,Hepatitis E,1994,0
Gastrointestinal diseases,Hepatitis E,1993,0
Gastrointestinal diseases,Hepatitis E,1992,0
Gastrointestinal diseases,Hepatitis E,1991,0
Gastrointestinal diseases,Listeriosis,2026,10
Gastrointestinal diseases,Listeriosis,2025,60
Gastrointestinal diseases,Listeriosis,2024,63
Gastrointestinal diseases,Listeriosis,2023,88
Gastrointestinal diseases,Listeriosis,2022,89
Gastrointestinal diseases,Listeriosis,2021,44
Gastrointestinal diseases,Listeriosis,2020,43
Gastrointestinal diseases,Listeriosis,2019,51
Gastrointestinal diseases,Listeriosis,2018,74
Gastrointestinal diseases,Listeriosis,2017,71
Gastrointestinal diseases,Listeriosis,2016,85
Gastrointestinal diseases,Listeriosis,2015,70
Gastrointestinal diseases,Listeriosis,2014,80
Gastrointestinal diseases,Listeriosis,2013,76
Gastrointestinal diseases,Listeriosis,2012,93
Gastrointestinal diseases,Listeriosis,2011,70
Gastrointestinal diseases,Listeriosis,2010,71
Gastrointestinal diseases,Listeriosis,2009,92
Gastrointestinal diseases,Listeriosis,2008,68
Gastrointestinal diseases,Listeriosis,2007,52
Gastrointestinal diseases,Listeriosis,2006,61
Gastrointestinal diseases,Listeriosis,2005,53
Gastrointestinal diseases,Listeriosis,2004,65
Gastrointestinal diseases,Listeriosis,2003,72
Gastrointestinal diseases,Listeriosis,2002,62
Gastrointestinal diseases,Listeriosis,2001,64
Gastrointestinal diseases,Listeriosis,2000,67
Gastrointestinal diseases,Listeriosis,1999,63
Gastrointestinal diseases,Listeriosis,1998,53
Gastrointestinal diseases,Listeriosis,1997,71
Gastrointestinal diseases,Listeriosis,1996,70
Gastrointestinal diseases,Listeriosis,1995,52
Gastrointestinal diseases,Listeriosis,1994,35
